"ID","X","Y","Z"
100,-5.89536,15.2761,318.15
100,-4.50664,15.8846,318.496
100,-3.80322,16.7016,319.411
100,-3.56176,16.452,318.727
100,-3.4443,15.9682,319.082
100,-3.52972,15.6907,318.611
100,-3.59011,15.7091,318.863
100,-3.56151,15.7315,319.462
100,-3.56664,15.4377,319.976
100,-4.00185,15.0923,319.296
100,-4.1217,15.1814,319.962
100,-3.96019,15.5425,321.108
100,-3.99201,15.6491,319.934
100,-3.8913,15.4237,321.711
100,-4.07864,15.0527,320.572
100,-4.19564,14.5517,320.328
100,-4.37321,14.3414,321.354
100,-4.67924,14.0329,321.57
100,-4.65152,13.8018,322.404
100,-4.49069,13.7308,321.847
100,-4.69843,13.4796,321.417
100,-4.79305,13.2277,321.551
100,-5.3205,12.9246,321.019
100,-5.88497,12.8679,321.024
100,-6.3524,12.9329,322.078
100,-6.40899,13.285,322.297
100,-6.76144,12.6621,319.545
100,-7.08494,12.6449,320.839
100,-7.11632,12.5897,320.065
100,-7.06974,12.9526,322.067
100,-7.0947,12.6897,320.789
100,-7.65084,12.404,321.608
100,-7.6561,12.4177,321.952
100,-7.66947,12.4332,322.086
100,-7.68891,12.4493,322.306
100,-7.88369,12.4571,322.683
100,-8.24313,12.4225,321.775
100,-8.24484,12.4553,321.321
100,-8.02446,13.0754,320.976
100,-8.18716,13.1913,322.273
100,-8.26901,12.9807,322.035
100,-8.19111,13.3728,322.242
100,-8.85137,12.9938,321.915
100,-9.2,13.0474,324.079
100,-9.41719,12.725,320.928
100,-9.55848,12.8179,322.593
100,-9.91734,13.0715,320.538
100,-9.90869,13.1748,320.619
100,-9.77348,13.6499,320.897
100,-10.1353,13.2556,322.668
100,-10.3366,13.7466,322.789
100,-10.4975,13.2948,320.478
100,-10.506,13.2257,321.016
100,-10.505,13.486,320.425
100,-10.8681,14.1386,321.959
100,-10.8624,14.0973,321.966
100,-11.1083,13.545,320.116
100,-11.0737,13.7152,320.481
100,-11.0777,13.7178,320.462
100,-11.0614,13.6936,320.438
100,-11.0612,13.6813,320.457
100,-11.1056,13.7016,320.81
100,-11.1661,13.7271,321.356
100,-11.3878,13.7052,322.76
100,-11.4123,13.5463,322.765
100,-11.3583,13.5294,322.61
100,-11.2896,13.4169,321.892
100,-11.2983,13.3032,321.757
100,-11.3291,13.3066,322.992
100,-11.4306,13.5714,322.101
100,-11.4402,13.6493,322.047
100,-11.3943,13.7312,323.115
100,-11.3787,13.542,322.519
100,-11.364,13.7637,322.283
100,-11.1214,13.5005,320.146
100,-11.1903,13.2818,320.72
100,-11.1603,13.3101,320.05
100,-11.1658,13.4974,320.535
100,-11.1263,13.4943,320.098
100,-11.0704,13.5024,319.996
100,-11.0884,13.5881,320.166
100,-11.1396,13.5821,320.365
100,-11.2582,13.5092,321.404
100,-11.3548,13.6802,322.18
100,-11.4346,13.5858,321.586
100,-11.2338,13.5486,321.14
100,-11.1083,13.3082,319.793
100,-11.0412,13.2056,321.486
100,-10.939,13.508,321.89
100,-11.0617,13.1206,321.05
100,-11.0271,13.1232,321.619
100,-11.0351,12.9643,321.189
100,-11.1039,12.6083,320.044
100,-11.0528,12.6552,319.525
100,-11.0994,12.791,319.307
100,-11.1316,12.9386,319.71
100,-11.1074,13.0154,319.801
100,-11.2376,13.1237,320.993
100,-11.3646,13.078,321.014
100,-11.447,13.0476,320.855
100,-11.9037,13.0869,321.126
100,-12.0908,13.0499,320.923
100,-12.2335,12.9438,320.306
100,-12.3568,12.9737,320.399
100,-12.3709,13.1031,320.732
100,-12.5163,13.235,320.181
100,-12.9436,13.3268,320.322
100,-13.1305,13.2011,320.55
100,-13.2015,13.4789,320.923
100,-13.5036,13.2902,320.506
100,-13.5102,13.5231,320.855
100,-13.3389,13.868,320.93
100,-13.1678,13.5698,320.449
100,-13.0508,13.7527,320.103
100,-13.0213,13.9865,319.741
100,-12.9969,14.0921,320.197
100,-13.0672,13.8358,319.559
100,-13.1199,13.7617,319.618
100,-13.106,13.8195,319.24
100,-13.0909,13.7759,319.578
100,-13.0994,13.5983,320.107
100,-13.0685,13.5964,320.177
100,-13.0634,13.8142,319.815
100,-13.103,13.7687,319.717
100,-13.076,13.7899,319.789
100,-13.0296,14.0707,320.015
100,-12.9598,14.3872,320.962
100,-13.0954,13.8123,319.608
100,-13.0651,13.8059,319.919
100,-13.0399,13.9731,319.816
100,-13.0326,14.2089,320.408
100,-13.0494,14.2127,320.149
100,-13.1024,14.1764,320.209
100,-13.0928,14.1831,319.92
100,-13.2158,14.5082,320.298
100,-13.4457,14.4945,320.871
100,-13.2036,14.7451,320.052
100,-13.1636,14.4683,319.565
100,-13.0695,14.3728,319.097
100,-13.0292,14.4253,319.183
100,-12.9898,14.4326,318.985
100,-12.9082,14.276,319.921
100,-12.952,13.8248,319.065
100,-12.8288,13.7627,319.485
100,-12.5891,14.2531,319.772
100,-12.4878,13.7788,319.415
100,-12.4006,13.5692,319.801
100,-12.0763,13.7044,319.095
100,-12.0031,13.7172,319.878
100,-11.9628,13.2837,319.564
100,-11.8954,13.0088,319.956
100,-11.4301,13.1114,319.345
100,-11.2564,13.0254,320.037
100,-11.2471,12.9037,319.89
100,-11.3411,12.5571,319.99
100,-11.3556,12.3937,319.723
100,-11.337,12.3667,319.698
100,-11.1692,12.269,319.999
100,-11.2037,12.1183,320.161
100,-11.0101,12.3589,319.871
100,-11.0413,11.9661,319.646
100,-11.0189,11.9068,320.206
100,-10.8341,11.8638,320.1
100,-10.6858,12.0035,319.719
100,-10.4848,12.3353,319.36
100,-10.4139,12.3595,319.038
100,-10.345,12.3562,319.733
100,-10.0935,12.2294,319.569
100,-10.0913,12.4052,320.25
100,-9.82856,12.3087,318.456
100,-9.73429,12.1495,318.902
100,-9.57729,11.956,319.585
100,-9.46887,12.0818,319.984
100,-9.32827,12.5302,319.308
100,-9.28021,12.5278,319.183
100,-9.39741,12.2034,319.387
100,-9.3295,12.2107,319.679
100,-9.26248,12.3083,318.83
100,-9.36782,12.4338,318.949
100,-9.5246,12.0164,319.441
100,-9.59238,11.957,319.282
100,-9.77748,12.0755,318.482
100,-9.80207,12.282,318.438
100,-9.77595,12.2831,318.259
100,-9.90069,12.381,319.085
100,-10.1314,12.4025,319.379
100,-10.4232,12.3431,318.684
100,-10.6944,11.9885,319.56
100,-10.7801,12.0773,319.603
100,-10.9206,12.1996,319.258
100,-10.8036,12.0148,319.839
100,-10.7874,11.9464,319.822
100,-10.7789,11.9831,319.613
100,-10.8985,12.3558,320.265
100,-10.8187,12.4292,319.878
100,-10.7783,12.4067,319.898
100,-10.8654,12.5244,320.51
100,-11.0451,12.5857,319.723
100,-11.0737,12.6015,319.834
100,-10.9744,12.8176,320.114
100,-10.953,12.476,320.592
100,-10.9332,12.7912,320.227
100,-11.149,12.5947,320.647
100,-11.2134,12.5146,320.523
100,-11.0846,12.7264,319.301
100,-11.2164,12.9913,320.161
100,-11.3107,12.9703,320.178
100,-11.5151,12.7958,320.187
100,-11.4827,13.0698,319.714
100,-11.4137,13.1454,320.112
100,-11.3984,13.0073,320.293
100,-11.5268,13.1208,320.928
100,-11.7135,13.1843,320.793
100,-11.8864,13.1134,320.457
100,-12.2613,13.1817,321.439
100,-12.4236,12.8133,320.845
100,-12.2484,13.2865,321.578
100,-12.0195,13.0397,320.753
100,-11.9987,13.059,320.729
100,-11.9367,13.0466,320.629
100,-11.9182,13.1898,320.467
100,-11.9135,13.184,320.375
100,-11.9517,13.1516,320.76
100,-12.1356,13.3634,321.254
100,-12.3247,13.482,321.734
100,-12.2939,13.5297,321.563
100,-12.2418,13.4718,321.692
100,-12.1842,13.4301,321.593
100,-12.2587,13.4617,321.529
100,-12.4237,13.242,321.314
100,-12.547,13.1621,320.31
100,-12.4478,13.1293,321.061
100,-12.5292,12.911,320.641
100,-12.7497,12.8313,321.438
100,-12.9934,12.8091,322.027
100,-12.9354,12.8651,322.538
100,-12.87,12.809,321.971
100,-12.9793,12.8441,322.543
100,-13.0306,12.7918,321.303
100,-12.8665,13.3161,322.105
100,-13.013,12.8441,321.805
100,-13.0116,12.7627,321.771
100,-12.866,12.9299,322.093
100,-12.6292,12.9991,321.069
100,-12.6839,12.9632,321.381
100,-12.5366,13.0091,320.995
100,-12.4266,13.3729,321.56
100,-12.4397,13.4326,321.257
100,-12.5247,13.2631,320.25
100,-12.6099,13.2007,320.164
100,-12.5279,13.3234,320.348
100,-12.4781,13.4166,320.855
100,-12.4959,13.2893,320.802
100,-12.4477,13.3116,321.507
100,-12.4754,13.455,320.691
100,-12.5393,13.4925,320.401
100,-12.5065,13.6618,319.995
100,-12.4634,13.8788,320.147
100,-12.4215,14.0452,320.59
100,-12.4553,13.9912,320.199
100,-12.506,13.8038,319.541
100,-12.3408,13.9815,320.736
100,-12.2769,14.0433,321.016
100,-12.3241,13.9428,320.7
100,-12.4989,13.8459,319.095
100,-12.4733,13.9265,319.586
100,-12.5515,13.7798,319.462
100,-12.6705,13.6031,320.625
100,-12.7385,13.5094,320.652
100,-12.5111,13.7631,319.6
100,-12.4525,13.7699,319.753
100,-12.3253,13.7453,320.646
100,-12.2545,13.9571,320.859
100,-12.3947,13.8519,320.636
100,-12.4236,13.8681,320.428
100,-12.4713,13.5338,319.73
100,-12.4884,13.635,319.77
100,-12.4492,13.9501,319.988
100,-12.2713,14.5895,320.995
100,-12.1629,14.3465,320.831
100,-12.063,14.4409,320.643
100,-12.0823,14.5821,320.2
100,-11.9813,14.8161,320.22
100,-12.0635,14.4622,320.126
100,-12.249,14.3386,321.253
100,-12.2722,14.6097,321.169
100,-12.2557,14.5431,321.122
100,-12.1774,14.4332,320.795
100,-12.1485,14.3736,320.616
100,-12.2768,14.4975,320.77
100,-12.2324,14.6504,320.957
100,-12.2729,14.4407,320.936
100,-12.386,14.1761,321.045
100,-12.5032,14.251,320.319
100,-12.5143,14.4342,320.082
100,-12.5318,14.4315,319.9
100,-12.5187,14.2258,319.901
100,-12.5444,14.312,320.072
100,-12.6015,14.3802,320.395
100,-12.624,14.3029,320.589
100,-12.7139,13.9923,320.867
100,-12.6646,14.065,320.946
100,-12.641,14.1582,320.658
100,-12.5751,14.154,320.675
100,-12.5433,14.0485,320.683
100,-12.5142,14.0962,320.924
100,-12.5472,13.9708,320.778
100,-12.6222,13.9916,320.817
100,-12.5769,14.0978,320.92
100,-12.3045,14.6169,321.581
100,-12.2832,14.5718,321.555
100,-12.3697,14.3685,322.144
100,-12.344,14.2837,321.777
100,-12.4552,13.9898,321.283
100,-12.4643,13.9373,321.334
100,-12.518,13.8687,321.097
